quote_id,ts,market_symbol,market_name,local_symbol,strike,right,side,bid,ask,mid,spread,bid_size,ask_size,implied_prob
630,2026-05-27T03:23:39.730419+00:00,CONTROLS-2028,Will the Republican party win the Senate in 2028?,CONTROLS-2028-D,0.0,P,NO,0.5,0.59,0.545,0.09,,,0.545
631,2026-05-27T03:23:40.007310+00:00,CONTROLS-2028,Will the Republican party win the Senate in 2028?,CONTROLS-2028-D,0.0,C,YES,0.5,0.59,0.545,0.09,,,0.545
632,2026-05-27T03:24:37.960230+00:00,CHINAUSGDP,Will China overtake US GDP by 2030?,CHINAUSGDP-30,0.0,C,YES,0.19,0.23,0.21,0.04,,,0.21
633,2026-05-27T03:24:38.297905+00:00,GOVPARTYLA-27,Will the Republican party win the governorship in Louisiana,GOVPARTYLA-27-D,0.0,P,NO,0.08,0.15,0.115,0.07,,,0.115
634,2026-05-27T03:24:38.576966+00:00,GOVPARTYLA-27,Will the Republican party win the governorship in Louisiana,GOVPARTYLA-27-D,0.0,C,YES,0.08,0.15,0.115,0.07,,,0.115
635,2026-05-27T03:24:38.867567+00:00,CONTROLH-2028,Will the Republican party win the House in 2028?,CONTROLH-2028-D,0.0,P,NO,0.66,0.74,0.7,0.08,,,0.7
636,2026-05-27T03:24:39.118079+00:00,CONTROLH-2028,Will the Republican party win the House in 2028?,CONTROLH-2028-D,0.0,C,YES,0.66,0.74,0.7,0.08,,,0.7
637,2026-05-27T03:24:39.351485+00:00,CONTROLS-2028,Will the Republican party win the Senate in 2028?,CONTROLS-2028-D,0.0,P,NO,0.5,0.59,0.545,0.09,,,0.545
638,2026-05-27T03:24:39.593847+00:00,CONTROLS-2028,Will the Republican party win the Senate in 2028?,CONTROLS-2028-D,0.0,C,YES,0.5,0.59,0.545,0.09,,,0.545
639,2026-05-27T03:25:37.985406+00:00,CHINAUSGDP,Will China overtake US GDP by 2030?,CHINAUSGDP-30,0.0,C,YES,0.19,0.23,0.21,0.04,,,0.21
640,2026-05-27T03:25:38.345312+00:00,GOVPARTYLA-27,Will the Republican party win the governorship in Louisiana,GOVPARTYLA-27-D,0.0,P,NO,0.08,0.15,0.115,0.07,,,0.115
641,2026-05-27T03:25:38.783594+00:00,GOVPARTYLA-27,Will the Republican party win the governorship in Louisiana,GOVPARTYLA-27-D,0.0,C,YES,0.08,0.15,0.115,0.07,,,0.115
642,2026-05-27T03:25:39.033463+00:00,CONTROLH-2028,Will the Republican party win the House in 2028?,CONTROLH-2028-D,0.0,P,NO,0.66,0.74,0.7,0.08,,,0.7
643,2026-05-27T03:25:39.274189+00:00,CONTROLH-2028,Will the Republican party win the House in 2028?,CONTROLH-2028-D,0.0,C,YES,0.66,0.74,0.7,0.08,,,0.7
644,2026-05-27T03:25:39.540167+00:00,CONTROLS-2028,Will the Republican party win the Senate in 2028?,CONTROLS-2028-D,0.0,P,NO,0.5,0.59,0.545,0.09,,,0.545
645,2026-05-27T03:25:39.794070+00:00,CONTROLS-2028,Will the Republican party win the Senate in 2028?,CONTROLS-2028-D,0.0,C,YES,0.5,0.59,0.545,0.09,,,0.545
646,2026-05-27T03:26:37.976798+00:00,CHINAUSGDP,Will China overtake US GDP by 2030?,CHINAUSGDP-30,0.0,C,YES,0.19,0.23,0.21,0.04,,,0.21
647,2026-05-27T03:26:38.351479+00:00,GOVPARTYLA-27,Will the Republican party win the governorship in Louisiana,GOVPARTYLA-27-D,0.0,P,NO,0.08,0.15,0.115,0.07,,,0.115
648,2026-05-27T03:26:38.640931+00:00,GOVPARTYLA-27,Will the Republican party win the governorship in Louisiana,GOVPARTYLA-27-D,0.0,C,YES,0.08,0.15,0.115,0.07,,,0.115
649,2026-05-27T03:26:38.921300+00:00,CONTROLH-2028,Will the Republican party win the House in 2028?,CONTROLH-2028-D,0.0,P,NO,0.66,0.74,0.7,0.08,,,0.7
650,2026-05-27T03:26:39.275816+00:00,CONTROLH-2028,Will the Republican party win the House in 2028?,CONTROLH-2028-D,0.0,C,YES,0.66,0.74,0.7,0.08,,,0.7
651,2026-05-27T03:26:39.532026+00:00,CONTROLS-2028,Will the Republican party win the Senate in 2028?,CONTROLS-2028-D,0.0,P,NO,0.5,0.59,0.545,0.09,,,0.545
652,2026-05-27T03:26:39.778969+00:00,CONTROLS-2028,Will the Republican party win the Senate in 2028?,CONTROLS-2028-D,0.0,C,YES,0.5,0.59,0.545,0.09,,,0.545
653,2026-05-27T03:27:38.001598+00:00,CHINAUSGDP,Will China overtake US GDP by 2030?,CHINAUSGDP-30,0.0,C,YES,0.19,0.23,0.21,0.04,,,0.21
654,2026-05-27T03:27:38.344832+00:00,GOVPARTYLA-27,Will the Republican party win the governorship in Louisiana,GOVPARTYLA-27-D,0.0,P,NO,0.08,0.15,0.115,0.07,,,0.115
655,2026-05-27T03:27:38.641897+00:00,GOVPARTYLA-27,Will the Republican party win the governorship in Louisiana,GOVPARTYLA-27-D,0.0,C,YES,0.08,0.15,0.115,0.07,,,0.115
656,2026-05-27T03:27:38.917628+00:00,CONTROLH-2028,Will the Republican party win the House in 2028?,CONTROLH-2028-D,0.0,P,NO,0.66,0.74,0.7,0.08,,,0.7
657,2026-05-27T03:27:39.159807+00:00,CONTROLH-2028,Will the Republican party win the House in 2028?,CONTROLH-2028-D,0.0,C,YES,0.66,0.74,0.7,0.08,,,0.7
