id,ts,strategy,broker,symbol,action,order_type,qty,price,value_usd,fee_usd,pnl_usd,pnl_pct,paper,order_id,notes,lane,won,source,contract_side,forecast_yes_prob,model_prob_gfs,model_prob_ecmwf,weather_mode,forecast_hours_to_resolution
588,2026-06-17T07:42:44.937046-04:00,reconstructed_kalshi,kalshi,KXHIGHDEN-26JUN17-T92,SELL,Limit,75.0,0.92,69.0,0.3864,0.0,0.0,0,5b12c94d-c341-4e3e-a40f-680a2ef23110,reconstructed_from_kalshi_api,lane2,,live_v10,YES,,,,,
587,2026-06-17T08:29:08.413652-04:00,reconstructed_kalshi,kalshi,KXLOWTDC-26JUN17-T66,SELL,Limit,4.0,0.13,0.52,0.0317,0.0,0.0,0,0706e6c3-cff7-486e-be4d-7e068e44b850,reconstructed_from_kalshi_api,lane2,,live_v10,YES,,,,,
586,2026-06-17T08:29:18.251705-04:00,reconstructed_kalshi,kalshi,KXTEMPNYCH-26JUN1709-T71.99,BUY,Limit,5.0,0.1,0.5,0.0315,0.0,0.0,0,ca40deb0-2c6d-49be-a8d8-bdf97ad710ca,reconstructed_from_kalshi_api,lane2,,live_v10,YES,,,,,
585,2026-06-17T08:35:07.888593-04:00,reconstructed_kalshi,kalshi,KXLOWTDC-26JUN17-T66,BUY,Limit,4.0,0.09,0.36,0.023,0.0,0.0,0,b6977704-2153-4b19-a67b-ed419c65ff6a,reconstructed_from_kalshi_api,lane2,,live_v10,NO,,,,,
584,2026-06-17T09:56:16.445552-04:00,reconstructed_kalshi,kalshi,KXHIGHPHIL-26JUN17-T86,BUY,Limit,1.0,0.1,0.1,0.0063,0.0,0.0,0,df4447a1-925a-4160-ab42-8d2d5a42e1fd,reconstructed_from_kalshi_api,lane2,,live_v10,YES,,,,,
583,2026-06-17T10:02:27.812854-04:00,reconstructed_kalshi,kalshi,KXHIGHTHOU-26JUN18-T91,BUY,Limit,58.0,0.09999999999999999,5.8,0.3654,0.0,0.0,0,e30db1e6-eb6d-4bee-8880-880746974276,reconstructed_from_kalshi_api,lane2,,live_v10,YES,,,,,
582,2026-06-17T10:02:28.489759-04:00,reconstructed_kalshi,kalshi,KXHIGHTMIN-26JUN18-T69,BUY,Limit,36.0,0.14,5.04,0.3035,0.0,0.0,0,0098e512-8ecc-489c-86d3-a8dc910de182,reconstructed_from_kalshi_api,lane2,,live_v10,YES,,,,,
581,2026-06-17T10:02:29.179095-04:00,reconstructed_kalshi,kalshi,KXHIGHTPHX-26JUN18-T104,BUY,Limit,57.0,0.1,5.7,0.3591,0.0,0.0,0,a3ef027a-7765-4325-9291-6428f6baaaf3,reconstructed_from_kalshi_api,lane2,,live_v10,YES,,,,,
580,2026-06-17T10:15:00.483472-04:00,reconstructed_kalshi,kalshi,KXHIGHCHI-26JUN18-T71,BUY,Limit,2.0,0.09,0.18,0.0115,0.0,0.0,0,a7dc2307-dd36-4660-949a-48f1b4b5c3c0,reconstructed_from_kalshi_api,lane2,,live_v10,YES,,,,,
579,2026-06-17T10:27:36.094926-04:00,reconstructed_kalshi,kalshi,KXTEMPNYCH-26JUN1711-T75.99,BUY,Limit,19.0,0.34,6.46,0.2985,0.0,0.0,0,aa50d63e-14ea-4b2c-8dde-5dc1ebeff283,reconstructed_from_kalshi_api,lane2,,live_v10,YES,,,,,
578,2026-06-17T10:27:36.793062-04:00,reconstructed_kalshi,kalshi,KXTEMPNYCH-26JUN1711-T76.99,BUY,Limit,5.0,0.15,0.75,0.0447,0.0,0.0,0,d8dcaf71-83a5-431d-afa9-75680ef0ea1f,reconstructed_from_kalshi_api,lane2,,live_v10,YES,,,,,
577,2026-06-17T10:27:37.493447-04:00,reconstructed_kalshi,kalshi,KXLOWTDEN-26JUN17-T66,BUY,Limit,1.0,0.17,0.17,0.0099,0.0,0.0,0,a90ce6b7-5358-413c-ad28-774c34322b38,reconstructed_from_kalshi_api,lane2,,live_v10,YES,,,,,
576,2026-06-17T10:27:38.186527-04:00,reconstructed_kalshi,kalshi,KXTEMPNYCH-26JUN1711-T77.99,BUY,Limit,5.0,0.05,0.25,0.0167,0.0,0.0,0,96ca5ace-90b3-4161-b3b4-256965432755,reconstructed_from_kalshi_api,lane2,,live_v10,YES,,,,,
575,2026-06-20T16:03:49.383314-04:00,reconstructed_kalshi,kalshi,KXLOWTLV-26JUN21-T75,SELL,Limit,2.0,0.17,0.34,0.0198,0.0,0.0,0,72d81773-7ff3-4ef1-89c4-08c3ffdf2077,reconstructed_from_kalshi_api,lane2,,live_v10,YES,,,,,
574,2026-06-20T16:03:50.078867-04:00,reconstructed_kalshi,kalshi,KXHIGHTSFO-26JUN20-T72,SELL,Limit,10.0,0.5900000000000001,5.9,0.1694,0.0,0.0,0,9c9b2c14-bde0-43e7-a081-2ce013608c19,reconstructed_from_kalshi_api,lane2,,live_v10,YES,,,,,
